Name,Email,Age,Location,Occupation,Bought_Sold,Budget,Prop_Type,Parking,CCTV,Gym,Transit,Price,Location_Pref,School,Builder,Source,Interest,Track,Challenge,Trust,Feature,Trend_Imp,Price_5yr
Samuel,brodriguez@yahoo.com,47,Simpsonburgh,1,0,4,4,1,0,1,1,1,0,1,0,2,3,2,1,2,1,2,1
April,calebthomas@yahoo.com,37,Lake Brianburgh,1,0,4,5,1,0,1,0,0,0,0,1,2,2,3,1,3,1,2,1
Zachary,andersondave@cannon.net,39,New Ryan,4,0,3,5,1,0,0,0,0,0,1,0,1,2,2,4,1,4,1,2
Kara,ctaylor@yahoo.com,43,Katieport,1,0,1,2,1,1,1,0,0,0,0,0,4,4,4,2,2,2,1,1
Peter,roywilliams@yahoo.com,25,Martinezhaven,2,0,3,3,0,0,0,0,1,1,1,1,1,1,2,4,3,1,3,2
Kristen,guerreromichele@garza.com,31,Lake Craig,2,0,5,3,0,1,1,0,1,1,1,1,2,2,4,2,3,3,2,1
Brian,megan48@costa.info,36,Jesseshire,1,1,5,2,0,0,1,0,1,1,0,0,2,1,2,3,1,1,1,2
Mary,rsanchez@hotmail.com,27,Farleyshire,3,1,5,3,0,1,0,1,0,1,0,1,2,1,1,4,1,2,1,2
Jose,jcastro@henderson-west.com,33,Wilkinsonshire,3,1,3,4,0,0,1,1,1,0,0,1,4,4,1,4,3,3,2,1
Alexander,zestes@salinas.com,34,Christopherhaven,4,1,3,5,1,1,1,0,0,1,0,0,3,3,1,3,3,3,4,2
Jessica,harperpaul@stewart-franco.biz,25,Williammouth,4,0,5,4,1,0,0,0,1,1,0,1,3,4,3,4,2,1,3,2
Mary,mary69@yahoo.com,51,New Brandonburgh,1,0,2,1,1,1,1,0,1,1,0,0,3,3,4,3,3,4,2,2
Gabriel,jasonwarren@gonzalez-anderson.com,48,East Gerald,1,1,3,5,0,0,1,0,0,1,1,1,3,3,1,4,1,3,3,3
Brandon,milesjack@anderson-baker.com,39,New Margaretton,3,0,1,2,1,0,0,1,0,0,1,1,1,4,1,4,3,3,3,1
Stephanie,hfreeman@lewis.info,37,New David,1,0,5,4,1,1,1,0,0,0,0,0,3,2,3,2,2,2,1,1
Daniel,meganjohnson@anderson.com,27,Brianton,1,0,4,2,1,0,0,1,0,0,0,1,3,3,2,3,1,1,1,3
Christine,rebeccaalvarado@yahoo.com,39,Adamsmouth,2,1,5,2,0,0,0,0,1,0,0,0,2,3,1,2,1,4,3,3
Jennifer,robert60@shields.com,45,Smithland,1,0,4,1,0,1,1,0,1,0,1,1,4,3,2,3,1,4,4,2
Christine,ernest80@cunningham.net,54,Millerside,3,1,4,1,0,1,0,1,0,1,1,0,2,2,4,1,3,3,4,3
Jeremy,tylerburns@hotmail.com,47,Perrybury,4,1,3,1,0,1,1,1,0,0,0,1,2,3,2,3,2,1,2,2
Heidi,poncesummer@hopkins-mooney.org,31,South Lorraine,3,0,5,4,0,0,1,0,1,0,1,1,3,2,1,3,2,4,3,2
Charles,pamela40@hotmail.com,50,North Lauraview,3,0,1,4,0,0,0,1,0,1,1,1,2,4,2,1,3,1,1,3
Ashley,webbsean@hotmail.com,31,Sanchezmouth,4,0,3,3,1,1,1,1,0,1,0,1,1,4,4,4,2,2,4,2
Valerie,chelsea04@wood.com,35,Lake Joseph,3,0,3,2,0,1,0,0,1,1,1,1,3,3,2,3,2,2,3,2
Melissa,uwilliams@gmail.com,47,North Jesse,2,1,2,4,1,1,1,1,0,0,0,0,4,1,2,1,3,2,4,1
Shawn,karengonzales@moran-jackson.info,42,Whiteshire,3,0,4,3,0,1,0,0,0,1,1,1,2,3,1,4,1,1,4,1
Amy,justin96@willis.com,51,North Jacobchester,3,1,4,2,0,0,1,1,0,1,1,0,2,1,3,3,3,1,3,3
Jenna,mary52@taylor-bowman.com,40,Josephport,3,0,5,1,1,1,0,0,1,1,0,0,4,2,3,3,1,2,2,1
Arthur,veronicablake@gmail.com,29,Bakerside,1,0,2,3,1,1,1,0,0,0,0,0,1,4,2,1,1,3,2,1
Natasha,marcus93@gmail.com,30,Heathhaven,3,0,5,5,0,1,1,0,1,1,1,1,1,1,3,3,3,1,2,1
Dustin,michael19@hernandez-cole.com,29,North Bradleyview,4,1,1,2,0,1,1,0,0,1,0,0,4,4,4,1,1,2,1,2
Kevin,elizabeth46@gmail.com,50,Jordanland,1,1,5,2,1,1,1,1,0,1,1,0,3,2,4,2,2,4,1,2
Michelle,jonestiffany@gmail.com,45,Port Susanbury,2,0,1,4,0,0,1,0,0,0,1,0,2,4,2,3,3,2,4,1
Katrina,danielle58@reed.com,52,Morrisville,2,0,3,4,1,0,0,1,1,1,0,0,1,3,3,4,3,4,3,1
Katie,landrybonnie@gmail.com,41,Sandraland,3,0,5,1,0,1,1,0,0,0,0,0,1,4,4,3,2,1,1,3
Michael,kathleen15@gmail.com,49,Kelseyport,3,1,3,3,1,0,0,0,0,1,1,0,2,2,2,2,1,4,3,2
Michael,juanbryant@gmail.com,49,East Dianeton,3,0,4,3,0,1,1,1,0,0,0,1,2,4,1,1,3,2,2,2
Daniel,cameronwilliams@macias-mcguire.com,30,Dannyside,3,0,4,4,1,1,1,0,0,1,0,0,3,1,2,1,1,1,1,1
Savannah,lbailey@yahoo.com,49,Wrightville,1,0,3,2,0,0,0,0,0,0,0,1,4,1,3,1,2,1,3,1
Patricia,feliciasullivan@goodman.info,49,West Cherylmouth,4,0,3,5,0,1,0,0,0,0,0,1,4,4,4,2,2,4,2,1
James,carrilloashley@hotmail.com,34,West Jamie,3,1,4,2,1,1,0,0,0,0,1,0,2,3,1,1,2,2,4,2
Joseph,spencermendez@yahoo.com,31,South Ronaldview,3,1,5,3,1,1,0,0,1,0,0,0,3,2,2,3,3,4,2,2
Jane,nancymartin@cunningham.com,30,West Rachelton,2,1,2,4,1,0,0,1,0,1,0,0,3,2,3,3,3,1,4,2
Jason,wneal@hotmail.com,54,Michaelton,4,0,3,3,1,1,0,0,0,1,0,1,1,1,4,2,2,1,3,3
Justin,bcordova@newton.com,46,North Kellyfort,3,1,1,2,1,1,0,0,0,1,0,1,4,2,1,1,3,3,3,1
Pamela,andrewsbarbara@yahoo.com,47,North Cheryl,3,1,5,5,1,0,0,0,0,0,0,0,2,3,4,2,1,4,3,2
Morgan,emorris@frederick-dougherty.biz,51,Peterhaven,4,0,3,2,0,1,1,1,0,0,1,0,2,4,2,4,2,3,4,2
Dawn,owenschristopher@sosa.com,53,Robinsontown,1,0,3,5,1,0,0,1,1,0,1,1,4,2,4,1,3,1,2,1
Thomas,reginanorman@burton.com,45,West Ricky,2,0,1,2,0,0,1,0,1,0,0,1,2,3,3,2,3,2,3,3
Jeremy,katelyn93@curtis-riddle.biz,55,Joyfurt,3,0,5,5,1,0,0,0,0,0,0,1,1,4,3,1,3,4,3,2
James,carolyn44@gmail.com,49,Chelseachester,4,1,3,3,0,1,0,0,0,0,1,1,4,4,4,1,3,4,1,1
Aaron,whenderson@gmail.com,35,New Kevin,2,1,5,5,0,0,0,1,0,0,1,0,4,4,3,3,2,4,3,1
Hannah,mary62@yahoo.com,27,Nicholasview,2,1,2,2,0,0,1,0,0,0,0,0,3,3,1,1,3,1,2,1
April,jennamitchell@yahoo.com,44,Edwardsburgh,3,0,5,3,1,1,1,1,0,1,1,1,3,1,2,1,2,1,1,3
Michael,clairerush@yahoo.com,36,New Rodney,4,1,1,5,1,0,0,0,1,0,1,1,1,3,4,4,1,1,1,1
Casey,elliottjose@hill.com,25,Port Michael,3,0,2,1,0,0,0,1,0,0,1,1,4,2,4,3,1,4,2,1
Steven,cruzmariah@yahoo.com,49,Chapmanside,3,1,1,1,1,1,1,1,1,1,1,0,4,3,1,2,2,3,3,2
Amanda,james23@davis.biz,32,Lake Kevin,2,1,2,5,1,1,0,0,1,0,0,0,3,1,4,1,1,3,4,3
Jeanne,alexismichael@lee-ortiz.com,25,Shanetown,1,1,1,2,1,0,0,1,1,1,0,0,3,3,1,2,3,2,4,2
Jeffrey,adamskenneth@martinez-moore.net,42,Andreachester,1,0,5,5,0,0,1,1,0,0,1,0,3,1,2,3,2,1,1,1
David,brownmelissa@hotmail.com,34,West Theresa,3,0,3,5,0,0,1,0,1,1,0,1,4,4,3,4,1,4,1,1
